10	18:0	32:0	63:2	93:13	101:0	177:5	376:9	552:13	720:0	744:0
10	5:5	30:1	62:3	86:9	96:6	121:7	351:9	551:8	579:0	603:0
10	4:6	27:2	54:5	83:1	107:6	201:1	339:8	516:1	865:0	889:0
10	16:4	44:4	67:2	82:4	105:13	136:7	309:11	556:1	791:0	815:0
10	18:6	36:11	60:0	88:11	108:0	192:9	325:11	570:14	1038:0	1062:0
10	15:8	28:2	48:4	75:1	109:1	128:1	400:6	472:12	692:0	716:0
10	22:6	40:11	64:0	92:11	112:0	196:9	329:11	574:14	1042:0	1066:0
10	11:14	45:3	62:4	85:8	105:13	189:8	311:4	533:5	701:0	725:0
10	5:0	39:4	56:5	79:9	99:14	183:9	305:5	551:5	719:0	743:0
10	7:11	27:1	54:3	84:3	106:0	193:5	309:3	468:0	605:0	629:0
10	9:5	34:1	66:3	90:9	100:6	125:7	355:9	531:9	583:0	607:0
10	3:0	42:0	57:1	74:11	113:0	176:1	244:0	409:3	820:0	844:0
10	23:14	45:6	53:10	76:9	107:0	166:0	342:12	419:12	811:0	835:0
10	20:5	30:0	67:0	88:1	104:9	165:4	325:0	525:10	578:0	1057:0
10	6:8	43:1	63:3	90:0	100:1	143:0	391:6	463:12	683:0	707:0
10	12:14	34:6	66:9	89:8	96:0	155:0	355:11	408:12	800:0	824:0
10	5:11	32:0	59:4	72:2	109:13	229:9	368:9	485:0	652:0	676:0
10	3:6	37:0	50:1	95:1	111:9	148:5	332:0	508:11	585:0	1064:0
10	10:14	25:12	71:3	75:2	102:14	228:3	285:4	456:2	638:0	662:0
